iter	RMSE
125	96835.9643
126	96669.88746
127	96448.60899
128	96341.76153
129	96134.21063
130	95867.5789
131	95659.51858
132	95521.63105
133	95429.92367
134	95259.65593
135	95117.75745
136	94977.87861
137	94806.3938
138	94666.92705
139	94462.41036
140	94287.2806
141	94173.27164
142	94005.23843
143	93839.35674
144	93647.7643
145	93525.8401
146	93406.14667
147	93219.59639
148	93026.4024
149	92881.79328
150	92787.13535
151	92697.72052
152	92508.27273
153	92322.74406
154	92174.25996
155	92058.35321
156	91920.86974
157	91723.88529
158	91569.25666
159	91446.83299
160	91353.10026
161	91248.43857
162	91134.16675
163	90990.14589
164	90889.05381
165	90788.02285
166	90711.73435
167	90554.25844
168	90395.3654
169	90223.16634
170	90116.99002
171	90030.04387
172	89948.04566
173	89815.51031
174	89741.84008
175	89629.11867
176	89577.03645
177	89419.22223
178	89226.81216
179	89068.83582
180	88953.94956
181	88853.7042
182	88691.45751
183	88569.50686
184	88552.38146
185	88459.3788
186	88330.54687
187	88197.83776
188	88070.33493
189	87912.45892
190	87824.5439
191	87676.30012
192	87546.52218
193	87396.12604
194	87267.16311
195	87131.41806
196	86967.28849
197	86841.87983
198	86726.05605
199	86616.14841
200	86543.59583
201	86397.21208
202	86277.29788
203	86226.0563
204	86131.12886
205	85973.66387
206	85853.37579
207	85784.04377
208	85629.84901
209	85525.64964
210	85394.84066
211	85232.65463
212	85138.31089
213	85010.29465
214	84840.26028
215	84691.25856
216	84581.21204
217	84527.0248
218	84464.85391
219	84358.53864
220	84223.63048
221	84141.36133
222	84071.00267
223	83957.37461
224	83898.2275
225	83786.08382
226	83706.77499
227	83578.29664
228	83446.62278
229	83386.38684
230	83252.44384
231	83130.12406
232	83003.70141
233	82891.42677
234	82820.53301
235	82699.17366
236	82640.08378
237	82581.46775
238	82496.73249
239	82379.8853
240	82309.78107
241	82200.96102
242	82148.87986
243	82054.99806
244	81976.80134
245	81858.96757
246	81727.7571
247	81607.93159
248	81471.92484
249	81381.12501
250	81300.05094
251	81236.51976
252	81160.17636
253	81082.03451
254	81053.97752
255	81011.69277
256	80857.3446
257	80767.37628
258	80632.07578
259	80513.89713
260	80423.96327
261	80305.49697
262	80226.14541
263	80174.74019
264	80070.26447
265	80024.03474
266	79965.29299
267	79856.3519
268	79777.77182
269	79692.68421
270	79628.95115
271	79521.67213
272	79434.12123
273	79310.18922
274	79264.33803
275	79160.15214
276	79136.56213
277	79072.17529
278	79015.41405
279	78966.29301
280	78860.35148
281	78740.36185
282	78717.79518
283	78632.62782
284	78548.33129
285	78524.89476
286	78451.38082
287	78415.35459
288	78375.61346
289	78257.38965
290	78178.57536
291	78098.92481
292	78075.71905
293	77955.30318
294	77950.55083
295	77873.16635
296	77857.43526
297	77742.96718
298	77687.98136
299	77580.83431
300	77448.20215
301	77364.27794
302	77320.65487
303	77273.41704
304	77240.39587
305	77212.75938
306	77143.51174
307	77061.46732
308	76957.17451
309	76842.99677
310	76706.08369
311	76678.65705
312	76619.22713
313	76577.48578
314	76464.32255
315	76437.75958
316	76340.109
317	76202.51224
318	76099.53649
319	75998.274
320	75884.8461
321	75864.77572
322	75774.4714
323	75726.64116
324	75629.18905
325	75537.89634
326	75513.00669
327	75439.08196
328	75297.29151
329	75214.68079
330	75118.22562
331	75102.41491
332	75002.53112
333	74943.42653
334	74914.34903
335	74819.03631
336	74803.71125
337	74731.01713
338	74649.94105
339	74558.73346
340	74538.46645
341	74435.77379
342	74363.29136
343	74287.96036
344	74172.78254
345	74097.20108
346	74009.01619
347	73933.51192
348	73810.59031
349	73714.3873
350	73654.83968
351	73581.25963
352	73512.77292
353	73482.83888
354	73383.88113
355	73286.67413
356	73267.11498
357	73156.76197
358	73090.29629
359	72991.53371
360	72937.55564
361	72851.97628
362	72797.12632
363	72681.55637
364	72580.5033
365	72475.62134
366	72377.74503
367	72296.48076
368	72217.15619
369	72118.4137
370	72032.60241
371	71933.65067
372	71856.66525
373	71762.73164
374	71759.80091
375	71756.95065
376	71647.93573
377	71610.37772
378	71551.93099
379	71489.37462
380	71438.4769
381	71377.47953
382	71325.78142
383	71258.39818
384	71175.23606
385	71137.98149
386	71134.05206
387	71112.48399
388	71018.43707
389	70930.23337
390	70838.59102
391	70767.23857
392	70677.15095
393	70617.94742
394	70475.61774
395	70395.27261
396	70302.59459
397	70226.23738
398	70184.14667
399	70090.05162
400	70018.04973
401	69961.68422
402	69926.40309
403	69828.95228
404	69750.30133
405	69727.39064
406	69650.14544
407	69567.33233
408	69456.65413
409	69331.50004
410	69239.66281
411	69154.82938
412	69077.53443
413	69027.22075
414	68952.10961
415	68918.72732
416	68850.4371
417	68809.77209
418	68768.05362
419	68743.78458
420	68685.57667
421	68584.73331
422	68568.16111
423	68474.09902
424	68400.45723
425	68350.61791
426	68280.02534
427	68203.32372
428	68155.85667
429	68040.89484
430	68028.02629
431	67934.72308
432	67847.87003
433	67757.37847
434	67681.83525
435	67630.57065
436	67581.39578
437	67531.4734
438	67442.50358
439	67380.69984
440	67344.03116
441	67284.63499
442	67250.09269
443	67163.02483
444	67131.48382
445	67068.13599
446	66996.94758
447	66961.49226
448	66860.26428
449	66797.52698
450	66723.12192
451	66671.74171
452	66645.99431
453	66571.35931
454	66521.96207
455	66429.95112
456	66359.37076
457	66278.75524
458	66254.53807
459	66220.55249
460	66173.3306
461	66110.413
462	66019.14678
463	65984.30895
464	65937.83339
465	65845.62068
466	65760.28326
467	65661.64877
468	65635.10515
469	65577.61135
470	65503.64658
471	65444.49543
472	65415.10449
473	65332.81895
474	65320.29346
475	65256.61007
476	65215.6088
477	65122.85193
478	65041.77535
479	64955.60725
480	64912.19633
481	64866.06922
482	64794.28175
483	64750.84557
484	64659.14945
485	64580.27145
486	64515.73748
487	64473.55001
488	64449.31413
489	64424.01757
490	64384.3481
491	64305.07688
492	64222.41033
493	64160.13206
494	64107.69917
495	64104.7497
496	64093.78956
497	64040.93965
498	63957.86709
499	63879.62875
500	63811.93754
501	63777.59502
502	63714.028
503	63638.81108
504	63590.46338
505	63533.64837
506	63476.43256
507	63442.10302
508	63377.10338
509	63305.88623
510	63276.22459
511	63237.16543
512	63189.52552
513	63132.26803
514	63111.51412
515	63051.25521
516	62996.75256
517	62979.97133
518	62949.00854
519	62900.72911
520	62863.47854
521	62778.71676
522	62705.88611
523	62607.26042
524	62567.30509
525	62516.71954
526	62454.20789
527	62452.82808
528	62401.64627
529	62360.39533
530	62294.49831
531	62241.32892
532	62202.11312
533	62105.55985
534	62057.13666
535	62005.84664
536	61955.54797
537	61937.11123
538	61921.91051
539	61884.94253
540	61828.45071
541	61744.28251
542	61711.18663
543	61665.01977
544	61633.96403
545	61556.84239
546	61542.28885
547	61502.82287
548	61468.75755
549	61410.12607
550	61358.646
551	61290.93601
552	61244.71731
553	61183.70547
554	61144.2541
555	61085.97442
556	61047.62382
557	60987.88036
558	60933.02312
559	60902.19073
560	60846.08834
561	60788.59678
562	60741.98726
563	60676.51441
564	60625.2848
565	60586.38035
566	60512.14824
567	60437.58565
568	60370.8551
569	60340.57366
570	60298.76987
571	60246.72573
572	60171.90753
573	60140.39668
574	60061.08238
575	59962.8073
576	59911.25908
577	59868.40181
578	59836.0692
579	59794.5103
580	59755.19971
581	59725.86573
582	59680.95382
583	59624.06898
584	59569.94012
585	59528.9069
586	59490.97757
587	59414.14233
588	59372.61511
589	59332.44862
590	59303.26354
591	59243.70331
592	59180.31036
593	59127.99683
594	59066.88805
595	58995.48276
596	58940.34044
597	58904.04956
598	58856.72644
599	58827.88929
600	58786.99049
601	58727.85425
602	58707.71912
603	58651.72123
604	58604.00831
605	58546.5884
606	58520.71697
607	58479.32861
608	58447.47291
609	58408.24714
610	58364.18581
611	58329.33411
612	58265.5695
613	58243.06209
614	58219.66035
615	58162.54974
616	58118.66294
617	58068.15411
618	58018.99093
619	57984.367
620	57934.98757
621	57902.82037
622	57858.04111
623	57819.44889
624	57787.49969
625	57746.89894
626	57737.80928
627	57702.96999
628	57635.3283
629	57598.45569
630	57548.51738
631	57523.22358
632	57482.69018
633	57455.48019
634	57406.53018
635	57387.0635
636	57328.5101
637	57269.25234
638	57202.41352
639	57175.25296
640	57127.19036
641	57092.13079
642	57067.67656
643	57037.67958
644	56962.0587
645	56915.60777
646	56876.50135
647	56827.1815
648	56771.7697
649	56736.04047
650	56663.82625
651	56653.08371
652	56571.80761
653	56514.25717
654	56476.16717
655	56470.54735
656	56403.9524
657	56362.75291
658	56310.79506
659	56265.67478
660	56238.07706
661	56182.60537
662	56142.42697
663	56126.28656
664	56068.14824
665	56054.02124
666	56015.16037
667	55980.08087
668	55921.56749
669	55902.25836
670	55880.40858
671	55822.89892
672	55821.79431
673	55761.11903
674	55726.25286
675	55689.86665
676	55652.55871
677	55625.06171
678	55607.85416
679	55563.89422
680	55510.55033
681	55472.09891
682	55422.50497
683	55406.09453
684	55343.218
685	55298.84503
686	55241.6689
687	55206.64548
688	55170.38232
689	55125.03055
690	55097.35251
691	55059.47587
692	54996.06953
693	54945.09516
694	54890.99016
695	54854.24138
696	54835.18465
697	54800.27318
698	54745.37635
699	54719.09477
700	54679.06812
701	54614.53558
702	54558.21686
703	54523.18079
704	54512.77189
705	54476.74475
706	54420.20065
707	54387.69068
708	54338.00841
709	54277.29143
710	54225.52439
711	54187.84263
712	54136.96838
713	54093.58924
714	54059.41718
715	54014.82778
716	53981.92093
717	53934.59432
718	53889.95426
719	53839.64936
720	53791.28556
721	53745.05233
722	53701.8729
723	53677.35246
724	53634.91343
725	53600.72827
726	53556.44527
727	53511.99414
728	53483.89142
729	53436.47098
730	53397.75345
731	53353.31409
732	53297.1277
733	53246.5409
734	53193.90309
735	53140.83698
736	53095.73475
737	53068.69459
738	53031.80656
739	52985.02024
740	52922.97274
741	52906.75126
742	52865.44927
743	52833.65112
744	52801.47939
745	52800.03466
746	52771.84562
747	52714.20065
748	52675.48398
749	52629.9035
750	52601.16504
751	52581.53564
752	52559.3413
753	52528.55128
754	52501.51946
755	52459.51336
756	52425.05313
757	52386.59806
758	52353.08471
759	52280.53007
760	52275.16615
761	52258.56386
762	52232.56939
763	52208.92804
764	52169.23853
765	52160.27261
766	52110.28054
767	52072.9791
768	52037.46705
769	52000.53586
770	51993.65973
771	51971.96453
772	51916.10241
773	51890.42913
774	51862.85339
775	51846.1065
776	51797.93473
777	51779.05922
778	51736.84037
779	51711.11662
780	51684.2871
781	51662.07385
782	51621.63186
783	51593.30671
784	51583.03447
785	51549.23266
786	51505.93835
787	51473.19205
788	51439.37334
789	51396.14934
790	51374.46896
791	51324.2734
792	51292.31138
793	51264.57366
794	51237.90953
795	51198.81452
796	51174.91238
797	51148.77218
798	51098.9515
799	51068.73285
800	51034.86331
801	50983.30485
802	50941.87348
803	50911.64454
804	50886.03335
805	50861.90891
806	50831.99386
807	50810.69236
808	50785.04691
809	50742.91335
810	50736.87484
811	50706.14639
812	50662.47005
813	50658.38531
814	50638.90139
815	50604.11221
816	50569.53715
817	50527.60435
818	50508.22778
819	50481.1838
820	50450.38263
821	50437.02927
822	50382.05029
823	50348.37583
824	50307.15839
825	50291.36368
826	50274.24598
827	50266.6473
828	50232.91431
829	50177.60032
830	50167.1485
831	50125.88576
832	50115.16157
833	50097.78054
834	50069.28721
835	50041.96583
836	50016.25645
837	50010.79166
838	49981.2371
839	49951.4596
840	49926.26276
841	49886.89247
842	49843.9133
843	49801.32203
844	49752.93488
845	49721.95824
846	49688.61098
847	49666.8192
848	49638.1761
849	49599.67151
850	49581.56513
851	49547.92021
852	49525.67059
853	49496.26811
854	49462.70335
855	49450.61382
856	49421.35195
857	49410.18657
858	49377.74516
859	49351.54066
860	49307.81142
861	49304.0155
862	49288.70478
863	49260.88089
864	49231.35525
865	49219.19906
866	49203.53686
867	49172.2779
868	49171.02671
869	49115.70928
870	49114.51144
871	49081.81121
872	49041.1052
873	49004.38969
874	48965.38036
875	48911.80513
876	48902.45863
877	48883.97376
878	48863.19669
879	48823.51987
880	48780.39895
881	48742.6137
882	48701.90516
883	48656.48142
884	48610.95233
885	48573.5104
886	48572.26119
887	48529.97989
888	48485.6383
889	48464.78455
890	48443.02667
891	48427.514
892	48403.7423
893	48377.52078
894	48330.64217
895	48300.35812
896	48271.59516
897	48241.24724
898	48223.68286
899	48220.56731
900	48214.78497
901	48211.772
902	48199.99224
903	48178.64638
904	48151.25958
905	48135.01869
906	48095.54528
907	48060.98221
908	48041.67888
909	47995.81516
910	47975.04015
911	47946.58233
912	47932.28918
913	47911.49364
914	47892.07094
915	47872.12529
916	47847.3784
917	47823.75877
918	47801.51209
919	47763.11347
920	47728.22213
921	47709.86397
922	47693.04654
923	47687.23349
924	47653.39573
925	47582.95473
926	47563.71604
927	47532.95426
928	47492.13017
929	47467.09088
930	47445.6699
931	47414.66046
932	47399.83415
933	47361.26513
934	47339.65643
935	47316.36369
936	47284.28667
937	47264.09745
938	47249.353
939	47229.82892
940	47189.74281
941	47158.75967
942	47138.97933
943	47126.33022
944	47110.36159
945	47085.0788
946	47069.39581
947	47048.13432
948	46999.3175
949	46998.0857
950	46980.4885
951	46964.4414
952	46944.61285
953	46939.14992
954	46904.01197
955	46862.10675
956	46833.14086
957	46830.98151
958	46806.48601
959	46767.77746
960	46745.55052
961	46721.67943
962	46709.39396
963	46684.26698
964	46656.20958
965	46633.68636
966	46615.60774
967	46591.09832
968	46549.5921
969	46514.44666
970	46497.10299
971	46458.37787
972	46420.47056
973	46380.28971
974	46345.47376
975	46309.87675
976	46296.01255
977	46246.76446
978	46228.76359
979	46206.48159
980	46184.17581
981	46153.77153
982	46131.45405
983	46110.33357
984	46071.37968
985	46044.31541
986	46026.39217
987	46001.28985
988	45974.64341
989	45960.96539
990	45937.47123
991	45930.1286
992	45907.63167
993	45886.75365
994	45850.0746
995	45835.137
996	45801.24618
997	45778.11547
998	45734.55874
999	45697.02383
